serial,x,y
wg3-1_0001,165,325
wg3-1_0002,177,325
wg3-1_0003,188,325
wg3-1_0004,199,325
wg3-1_0005,165,315
wg3-1_0006,177,315
wg3-1_0007,188,315
wg3-1_0008,199,315
wg3-1_0009,199,271
wg3-1_0010,199,260
wg3-1_0011,165,221
wg3-1_0012,177,221
wg3-1_0013,188,221
wg3-1_0014,199,221
wg3-1_0015,165,212
wg3-1_0016,177,212
wg3-1_0017,188,212
wg3-1_0018,199,212
wg3-1_0019,165,169
wg3-1_0020,177,169
wg3-1_0021,188,169
wg3-1_0022,199,169
wg3-1_0023,165,160
wg3-1_0024,177,160
wg3-1_0025,199,160
wg3-1_0026,165,117
wg3-1_0027,173,117
wg3-1_0028,201,117
wg3-1_0029,210,117
wg3-1_0030,165,107
wg3-1_0031,173,107
wg3-1_0032,210,107
wg3-1_0033,238,135
wg3-1_0034,266,135
wg3-1_0035,280,135
wg3-1_0036,310,135
wg3-1_0037,321,135
wg3-1_0038,350,135
wg3-1_0039,160,361
wg3-1_0040,202,361
wg3-1_0041,70,306
wg3-1_0042,105,306
wg3-1_0043,100,197
wg3-1_0044,141,96
