デバイス,デバイス座標x,デバイス座標y,空調機
wg3-1_0001,199,390,MAC-2-1-2a F
wg3-1_0002,212,390,MAC-2-1-2a F
wg3-1_0003,226,390,MAC-2-1-2a F
wg3-1_0004,240,390,MAC-2-1-2a F
wg3-1_0005,199,379,MAC-2-1-2a F
wg3-1_0006,212,379,MAC-2-1-2a F
wg3-1_0007,226,379,MAC-2-1-2a F
wg3-1_0008,240,379,MAC-2-1-2a F
wg3-1_0009,238,325,MAC-2-1-2a F
wg3-1_0010,238,311,MAC-2-1-2a F
wg3-1_0011,199,265,MAC-2-1-2a A
wg3-1_0012,212,265,MAC-2-1-2a A
wg3-1_0013,226,265,MAC-2-1-2a A
wg3-1_0014,240,265,MAC-2-1-2a A
wg3-1_0015,199,255,MAC-2-1-2a A
wg3-1_0016,212,255,MAC-2-1-2a A
wg3-1_0017,226,255,MAC-2-1-2a A
wg3-1_0018,240,255,MAC-2-1-2a A
wg3-1_0019,199,204,MAC-2-1-2a A
wg3-1_0020,212,204,MAC-2-1-2a A
wg3-1_0021,226,204,MAC-2-1-2a A
wg3-1_0022,240,204,MAC-2-1-2a A
wg3-1_0023,199,194,MAC-2-1-2a C
wg3-1_0024,212,194,MAC-2-1-2a C
wg3-1_0025,240,194,MAC-2-1-2a C
wg3-1_0026,198,140,MAC-2-1-2a C
wg3-1_0027,207,140,MAC-2-1-2a C
wg3-1_0028,240,140,MAC-2-1-2a C
wg3-1_0029,250,140,MAC-2-1-2a C
wg3-1_0030,198,128,MAC-2-1-2a C
wg3-1_0031,207,128,MAC-2-1-2a C
wg3-1_0032,250,128,MAC-2-1-2a C
wg3-1_0033,285,162,MAC-2-1-2a E
wg3-1_0034,322,162,MAC-2-1-2a E
wg3-1_0035,336,162,MAC-2-1-2a E
wg3-1_0036,372,162,MAC-2-1-2a D
wg3-1_0037,384,162,MAC-2-1-2a D
wg3-1_0038,421,162,MAC-2-1-2a D
wg3-1_0039,193,433,MAC-2-1-2a G
wg3-1_0040,245,433,MAC-2-1-2a G
wg3-1_0041,82,367,MAC-2-1-2a H
wg3-1_0042,126,367,MAC-2-1-2a H
wg3-1_0043,116,238,MAC-2-1-2a B
wg3-1_0044,170,115,MAC-2-1-2a C
